build_id,applicability_prediction,observed_applicability,action,current_quadrant,proposed_quadrant,current_concurrency,proposed_concurrency,current_iterations,proposed_iterations,current_response_time,proposed_response_time,human_approval_required,online_validation_status,rationale
467314,not_applies,not_applies,review,1,1,very_low,very_low,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
467314,not_applies,not_applies,review,2,2,medium,medium,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
468337,applies,applies,upgrade,9,9,high,high,high,high,low,low,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
468337,applies,applies,upgrade,7,7,very_low,low,low,low,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
468337,applies,applies,maintain,8,8,medium,medium,medium,medium,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
468337,applies,applies,maintain,7,7,low,low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
468337,applies,applies,maintain,7,7,low,low,low,low,very_high,very_high,False,not_required,The current configuration applies without sufficient upgrade evidence.
468337,applies,applies,maintain,8,8,medium,medium,medium,medium,high,high,False,not_required,The current configuration applies without sufficient upgrade evidence.
483042,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483179,not_applies,applies,review,7,7,very_low,very_low,low,low,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483179,not_applies,applies,review,7,7,very_low,very_low,low,low,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,applies,review,7,7,very_low,very_low,low,low,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
482069,not_applies,applies,review,7,7,very_low,very_low,low,low,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,7,7,low,low,medium,medium,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
483042,not_applies,not_applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
483179,not_applies,applies,review,,,,,,,,,True,not_required,The model predicts that the executed configuration does not apply.
483179,not_applies,applies,review,7,7,very_low,very_low,low,low,high,high,True,not_required,The model predicts that the executed configuration does not apply.
483179,not_applies,applies,review,,,,,,,,,True,not_required,The model predicts that the executed configuration does not apply.
483179,not_applies,applies,review,7,7,very_low,very_low,low,low,high,high,True,not_required,The model predicts that the executed configuration does not apply.
482922,not_applies,applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
482922,not_applies,applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
451595,not_applies,not_applies,review,4,4,low,low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
451504,applies,applies,upgrade,7,7,very_low,very_low,low,low,very_high,very_high,True,pending_new_execution,The execution applies with headroom; evaluate one controlled step.
451595,not_applies,not_applies,review,5,5,medium,medium,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
451595,not_applies,not_applies,review,1,1,low,low,low,low,low,low,True,not_required,The model predicts that the executed configuration does not apply.
453599,not_applies,applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
453599,not_applies,applies,review,4,4,very_low,very_low,low,low,medium,medium,True,not_required,The model predicts that the executed configuration does not apply.
441566,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441566,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441566,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441566,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441566,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
441156,not_applies,not_applies,review,7,7,very_low,very_low,low,low,very_high,very_high,True,not_required,The model predicts that the executed configuration does not apply.
